"id";"continent";"sub-id";"sub-continent";"country-id";"country";"region";"county"
002;"Africa";;;;;;
;;014;"Eastern Africa";;;;
;;;;108;"Burundi";;
;;;;174;"Comoros";;
;;;;262;"Djibouti";;
;;;;232;"Eritrea";;
;;;;231;"Ethiopia";;
;;;;404;"Kenya";;
;;;;450;"Madagascar";;
;;;;454;"Malawi";;
;;;;480;"Mauritius";;
;;;;175;"Mayotte";;
;;;;508;"Mozambique";;
;;;;638;"Reunion";;
;;;;646;"Rwanda";;
;;;;690;"Seychelles";;
;;;;706;"Somalia";;
;;;;800;"Uganda";;
;;;;834;"United Republic of Tanzania";;
;;;;894;"Zambia";;
;;;;716;"Zimbabwe";;
;;017;"Middle Africa";;;;
;;;;024;"Angola";;
;;;;120;"Cameroon";;
;;;;140;"Central African Republic";;
;;;;148;"Chad";;
;;;;178;"Congo";;
;;;;180;"Democratic Republic of the Congo";;
;;;;226;"Equatorial Guinea";;
;;;;266;"Gabon";;
;;;;678;"Sao Tome and Principe";;
;;015;"Northern Africa";;;;
;;;;012;"Algeria";;
;;;;818;"Egypt";;
;;;;434;"Libyan Arab Jamahiriya";;
;;;;504;"Morocco";;
;;;;736;"Sudan";;
;;;;788;"Tunisia";;
;;;;732;"Western Sahara";;
;;018;"Southern Africa";;;;
;;;;072;"Botswana";;
;;;;426;"Lesotho";;
;;;;516;"Namibia";;
;;;;710;"South Africa";;
;;;;748;"Swaziland";;
;;11;"Western Africa";;;;
;;;;204;"Benin";;
;;;;854;"Burkina Faso";;
;;;;132;"Cape Verde";;
;;;;384;"Cote d'Ivoire";;
;;;;270;"Gambia";;
;;;;288;"Ghana";;
;;;;324;"Guinea";;
;;;;624;"Guinea-Bissau";;
;;;;430;"Liberia";;
;;;;466;"Mali";;
;;;;478;"Mauritania";;
;;;;562;"Niger";;
;;;;566;"Nigeria";;
;;;;654;"Saint Helena";;
;;;;686;"Senegal";;
;;;;694;"Sierra Leone";;
;;;;768;"Togo";;
019;"Americas";;;;;;
;;419;"Latin America and the Caribbean";;;;
;;;;029;"Caribbean";;
;;;;660;"Anguilla";;
;;;;028;"Antigua and Barbuda";;
;;;;533;"Aruba";;
;;;;044;"Bahamas";;
;;;;052;"Barbados";;
;;;;92;"British Virgin Islands";;
;;;;136;"Cayman Islands";;
;;;;192;"Cuba";;
;;;;212;"Dominica";;
;;;;214;"Dominican Republic";;
;;;;308;"Grenada";;
;;;;312;"Guadeloupe";;
;;;;332;"Haiti";;
;;;;388;"Jamaica";;
;;;;474;"Martinique";;
;;;;500;"Montserrat";;
;;;;530;"Netherlands Antilles";;
;;;;630;"Puerto Rico";;
;;;;659;"Saint Kitts and Nevis";;
;;;;662;"Saint Lucia";;
;;;;670;"Saint Vincent and the Grenadines";;
;;;;780;"Trinidad and Tobago";;
;;;;796;"Turks and Caicos Islands";;
;;;;850;"United States Virgin Islands";;
;;013;"Central America";;;;
;;;;084;"Belize";;
;;;;188;"Costa Rica";;
;;;;222;"El Salvador";;
;;;;320;"Guatemala";;
;;;;340;"Honduras";;
;;;;484;"Mexico";;
;;;;558;"Nicaragua";;
;;;;591;"Panama";;
;;;;5;"South America";;
;;;;032;"Argentina";;
;;;;068;"Bolivia";;
;;;;076;"Brazil";;
;;;;152;"Chile";;
;;;;170;"Colombia";;
;;;;218;"Ecuador";;
;;;;238;"Falkland Islands (Malvinas)";;
;;;;254;"French Guiana";;
;;;;328;"Guyana";;
;;;;600;"Paraguay";;
;;;;604;"Peru";;
;;;;740;"Suriname";;
;;;;858;"Uruguay";;
;;;;862;"Venezuela (Bolivarian Republic of)";;
;;012;"North America";;;;
;;;;060;"Bermuda";;
;;;;124;"Canada";;
;;;;304;"Greenland";;
;;;;666;"Saint Pierre and Miquelon";;
;;;;840;"United States of America";;
;;;;;;"Alabama";
;;;;;;;"Black Belt"
;;;;;;;"Central Alabama"
;;;;;;;"Greater Birmingham"
;;;;;;;"Lower Alabama"
;;;;;;;"Mobile Bay"
;;;;;;;"North Alabama"
;;;;;;;"Northeast Alabama"
;;;;;;;"South Alabama"
;;;;;;"Alaska";
;;;;;;;"Aleutian Islands"
;;;;;;;"Arctic Alaska"
;;;;;;;"Bush Alaska"
;;;;;;;"Interior"
;;;;;;;"Kenai Peninsula"
;;;;;;;"Mat-Su Valley"
;;;;;;;"North Slope"
;;;;;;;"Panhandle"
;;;;;;;"Seward Peninsula"
;;;;;;;"Southcentral"
;;;;;;;"Southwest"
;;;;;;;"Tanana Valley"
;;;;;;;"Yukon-Kuskokwim Delta"
;;;;;;"Arizona";
;;;;;;;"Arizona Strip"
;;;;;;;"Coconino Plateau"
;;;;;;;"Grand Canyon"
;;;;;;;"Mojave Desert"
;;;;;;;"North Central Arizona"
;;;;;;;"Northeast Arizona"
;;;;;;;"Northern Arizona"
;;;;;;;"Phoenix Metropolitan Area"
;;;;;;;"Southern Arizona"
;;;;;;"Arkansas";
;;;;;;;"Arkansas River Valley"
;;;;;;;"Ark-La-Tex"
;;;;;;;"Crowley's Ridge"
;;;;;;;"Central Arkansas"
;;;;;;;"Delta"
;;;;;;;"Ouachita Mountains"
;;;;;;;"Ozarks"
;;;;;;;"Timberlands"
;;;;;;;"Western Arkansas"
;;;;;;"California";
;;;;;;;"Antelope Valley"
;;;;;;;"Big Sur"
;;;;;;;"Central Coast"
;;;;;;;"Central Valley"
;;;;;;;"Channel Islands"
;;;;;;;"Coachella Valley"
;;;;;;;"Conejo Valley"
;;;;;;;"Cucamonga Valley"
;;;;;;;"Death Valley"
;;;;;;;"East Bay (SF)"
;;;;;;;"Eastern California"
;;;;;;;"Emerald Triangle"
;;;;;;;"Gold Country"
;;;;;;;"Greater Los Angeles"
;;;;;;;"Inland Empire"
;;;;;;;"Los Angeles Basin"
;;;;;;;"Mojave"
;;;;;;;"North Bay (SF)"
;;;;;;;"North Coast"
;;;;;;;"Northern California"
;;;;;;;"Owens Valley"
;;;;;;;"The Peninsula"
;;;;;;;"Pomona Valley"
;;;;;;;"Redwood Empire"
;;;;;;;"Russian River"
;;;;;;;"Sacramento Valley"
;;;;;;;"San Francisco Bay Area"
;;;;;;;"San Joaquin Valley"
;;;;;;;"SanSan"
;;;;;;;"Santa Clarita Valley"
;;;;;;;"Shasta Cascade"
;;;;;;;"Sierra Nevada"
;;;;;;;"Silicon Valley"
;;;;;;;"Southern California"
;;;;;;;"Tech Coast"
;;;;;;;"Tri-Valley"
;;;;;;;"Wine Country"
;;;;;;;"Yosemite"
;;;;;;"Colorado";
;;;;;;;"Central Colorado"
;;;;;;;"Colorado Piedmont"
;;;;;;;"Denver-Aurora Metropolitan Area"
;;;;;;;"Eastern Plains"
;;;;;;;"Front Range"
;;;;;;;"Grand Valley"
;;;;;;;"High Rockies"
;;;;;;;"Mineral Belt"
;;;;;;;"Roaring Fork Valley"
;;;;;;;"San Luis Valley"
;;;;;;;"South-Central Colorado"
;;;;;;;"Southwestern Colorado"
;;;;;;;"Western Slope"
;;;;;;"Connecticut";
;;;;;;;"Gold Coast"
;;;;;;;"Greater Bridgeport"
;;;;;;;"Greater Danbury"
;;;;;;;"Greater Hartford"
;;;;;;;"Greater New Haven"
;;;;;;;"Litchfield Hills"
;;;;;;;"Lower Connecticut River Valley"
;;;;;;;"Naugatuck River Valley"
;;;;;;;"Quiet Corner"
;;;;;;;"Southeastern Connecticut"
;;;;;;;"Southwestern Connecticut"
;;;;;;"Delaware";
;;;;;;;"Kent County"
;;;;;;;"New Castle County"
;;;;;;;"Sussex County"
;;;;;;"Florida";
;;;;;;;"Big Bend"
;;;;;;;"Central Florida"
;;;;;;;"Emerald Coast"
;;;;;;;"First Coast"
;;;;;;;"Florida Keys"
;;;;;;;"Florida Panhandle"
;;;;;;;"Gold Coast"
;;;;;;;"Nature Coast"
;;;;;;;"North Central Florida"
;;;;;;;"South Florida"
;;;;;;;"Southwest Florida"
;;;;;;;"Space Coast"
;;;;;;;"Sun Coast"
;;;;;;;"Tampa Bay Area"
;;;;;;;"Treasure Coast"
;;;;;;"Georgia";
;;;;;;;"Colonial Coast"
;;;;;;;"The Golden Isles"
;;;;;;;"Historic South"
;;;;;;;"Inland Empire"
;;;;;;;"Metro Atlanta"
;;;;;;;"North Georgia Mountains"
;;;;;;;"Southern Rivers"
;;;;;;"Hawaii";
;;;;;;;"Hawaiʻi"
;;;;;;;"Kahoʻolawe"
;;;;;;;"Kauaʻi"
